x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,target
13.23097,10.76497,15.62486,9.37986,-1.91227,-0.06383,18.15225,81.84775,16.91120,83.08880,2.52539,84.52781,0.07898,19.65773,29.47224,34.86692,2.46601,59.90850,120.77648,0.31961,70.74780,1.49761,12.17900,1.81807,29.23000,2.89951,71.64710,1.02407,66.19948,38.22498,0.88076,209.34782,3.76221,0.73934,78.60409,32.33804,1.09380,183.92708,2.34722,69.80485,1.54694,4.04694,1.61923,0
45.61061,42.65108,87.07541,-12.62481,12.63814,12.63814,60.71328,39.28672,66.47153,33.52847,36.27259,52.38058,0.00000,44.20203,1.51369,2.88979,2.95952,96.59325,190.28591,57.54354,184.40660,0.86451,9.87681,1.04536,12.20992,5.22112,58.82353,3.63445,193.71897,21.13750,0.28149,454.42210,5.34029,0.09883,59.50359,5.00433,1.16321,122.40000,3.90000,60.02431,1.87615,8.87591,6.71828,1
22.68211,19.22107,149.44471,-34.05381,34.05381,34.05381,61.40877,38.59123,69.13289,30.86711,94.45803,15.12774,0.00000,30.01153,41.13612,271.92501,3.46104,26.92013,270.53169,15.26477,177.36757,0.51910,4.94864,0.58615,10.81123,3.85179,73.26114,1.31971,100.96392,24.86123,0.17922,143.04201,11.80908,7.87116,89.94797,85.75865,0.77572,98.61472,0.00000,59.34610,1.30711,5.25762,3.77129,1
7.96231,3.45188,10.01055,114.77871,-27.56751,-10.86075,42.43580,57.56420,33.29676,66.70324,34.34394,60.56016,16.08206,7.16429,77.86765,128.57900,4.51043,16.02546,34.94481,4.23643,20.14788,0.38348,2.71946,0.36077,2.98286,2.20153,71.37979,0.40399,20.73229,63.17933,0.50644,114.93366,8.33620,5.65595,95.37779,74.37583,1.03343,142.65895,4.03722,51.53340,1.94860,3.08424,0.62920,0
15.90258,14.59545,20.17393,95.25223,-33.60047,-1.37916,80.74689,19.25311,65.59933,34.40067,58.30144,72.92521,3.84821,11.81460,46.35062,63.55912,1.30713,52.21251,66.61155,41.16905,66.23650,1.24176,12.76045,1.48251,42.72379,3.73956,50.73587,3.45412,89.90053,52.12780,0.32124,144.99294,7.91669,4.00017,69.62294,51.00742,1.21474,212.64530,8.05769,30.41818,3.84216,7.37065,3.20725,1
15.28701,15.02887,18.52222,14.85511,28.84182,11.41224,65.12968,34.87032,62.85878,37.14122,47.23145,27.11485,27.38559,34.78465,41.49620,153.03867,0.25814,56.69742,98.97590,38.17194,68.69638,1.23959,11.92131,1.44162,67.46631,3.99269,71.44753,1.59559,54.49369,52.39592,0.15544,152.92642,6.09097,2.09828,79.24181,41.74600,1.04950,292.38843,0.00000,35.84317,2.92803,5.58828,2.50481,1
8.37929,5.70232,10.05041,-0.02962,29.18233,-9.72876,59.01665,40.98335,59.01913,40.98087,60.48338,62.50364,9.98254,8.99672,74.32530,118.91356,2.67697,23.74774,48.27234,5.32838,28.48387,3.05616,3.60225,3.61172,2.06818,2.48770,59.24181,0.88649,46.68464,45.21991,1.25499,133.03505,8.37721,5.06446,90.43049,72.73021,0.98753,102.16129,1.03427,51.47927,1.89889,4.19924,1.04536,0
7.23445,5.13719,7.93724,27.10801,14.02927,-3.95067,39.16816,60.83184,37.20704,62.79296,63.14897,41.17288,45.89878,20.97062,61.71300,149.88748,2.09726,34.67512,72.02159,8.07738,38.04366,1.38949,9.91438,1.61923,13.99932,2.27905,76.97170,0.37327,17.15922,73.46805,0.53264,115.17646,5.58864,3.00101,93.73914,57.97577,1.24768,126.73795,1.46477,56.69357,2.17531,2.96089,0.25294,0
10.17541,6.24552,12.84232,148.11247,-94.97393,1.59065,67.20391,32.79609,52.13286,47.86714,68.91048,50.75161,27.73072,10.02451,70.07162,138.06779,3.92989,24.12008,47.36243,10.13166,30.44181,0.58757,6.80959,0.66583,7.96367,3.41819,60.28716,1.19755,39.39484,53.61440,1.18776,137.46196,8.45289,3.98058,87.59075,56.69991,1.16868,109.89572,0.20836,38.37228,3.03986,5.66985,1.44223,1
14.88990,14.87574,17.70974,-1.83499,7.26554,7.26554,18.06600,81.93400,18.33923,81.66077,5.33538,29.17098,54.90645,0.00000,80.35087,275.44799,0.01416,16.72605,68.29024,0.04466,19.89363,2.38462,15.46960,3.20725,585.13317,2.29565,85.80638,0.37973,126.75772,11.19744,0.22782,524.76773,2.55540,0.25975,87.06245,46.43949,0.12508,249.82759,2.17241,41.39004,0.29957,2.67538,2.14799,1
92.71316,91.83640,2732.39521,-97.87770,97.71411,177.91061,9.24482,90.75518,99.99034,0.00966,100.00000,3.39311,0.00000,4.43839,0.00000,0.00000,0.87676,96.87877,2803.73261,7.91980,2855.16191,1.50420,14.96768,1.59720,42.49815,6.52872,34.45062,12.42223,128.98672,50.81870,0.25705,187.18682,7.58815,1.05943,37.92108,9.91046,3.00371,238.71429,3.55357,30.72490,9.63062,18.95095,9.06327,0
6.78788,6.46835,7.35233,255.17852,-265.97356,0.28115,27.11832,72.88168,9.79709,90.20291,6.85466,35.41366,56.90924,1.39404,60.34361,170.39643,0.31953,39.09318,75.56493,3.00440,42.34397,2.16905,13.49546,2.50481,51.28519,2.27164,166.32955,-0.90590,-126.88959,52.27344,0.05127,153.78230,2.76969,0.49805,148.60488,41.09390,0.23427,290.75714,1.65714,32.62769,0.71392,1.36575,0.60056,1
